编号       里程      位置     方向      长度      宽度  
  
 01       37130      0        2       0.32      0.18      
 02       37130      4        1       0.4       0.35 
 03       37300      1        0       0.6       1.2 
 04       37300      0        2       0.5       0.8 
 05       37500      3        0       0.38      0.72 
 06       37500      1        3       0.9       1.5 
 07       37700      4        1       0.47      0.5 
 08       37700      2        0       0.29      0.9 
 09       37900      0        2       0.16      0.47 
 10       37900      1        3       0.57      0.83 
 11       38100      2        1       0.62      1.1 
 12       38100      0        3       0.3       0.91 
 
