编号       里程      位置     方向     长度(m)   宽度(mm)     等级
  
 01       37+130       0            2           0.32          0.18             1      
 02       37+130       4            1           0.4            0.35             2  
 03       37+300       1            0           0.6            1.2               1 
 04       37+300       0            2           0.5            0.8               0 
 05       37+500       3            0           0.38          0.72             1 
 06       37+500       1            3           0.9            1.5               1  
 07       37+700       4            1           0.47          0.5               0  
 08       37+700       2            0           0.29          0.9               1  
 09       37+900       0            2           0.16          0.47             1  
 10       37+900       1            3           0.57          0.83             1  
 11       38+100       2            1           0.62          1.1               1 
 12       38+100       0            3           0.3            0.91             2  
 13       38+300       2            0           1.2            0.76             1  
 14       38+300       3            2           0.8            0.74             1 
 15       38+500       1            3           0.73          0.39             1  
 16       38+500       2            0           0.26          0.52             3  
 17       38+700       0            1           0.47          0.81             1 
 18       38+700       4            3           0.39          0.69             1  
 19       38+900       1            2           0.64          0.28             1 
 20       39+100       3            0           0.59          0.15             4  
 21       39+300       0            1           0.48          0.42             1 
